,GOBIERNO DE CHILE,,,,,,,,,,,,,,,,,,,,,,Página:,,,1,,
,MINISTERIO DE OBRAS PUBLICAS,,,,,,,,,,,,,,,,,,,,,,Fecha Emisión:,,,07/03/2024 17:02:13,,
,DIRECCION GENERAL DE AGUAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAUDALES MEDIOS MENSUALES (m3/s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERIODO: 01/01/2019 - 31/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estación:,,RIO ITATA EN BALSA NUEVA ALDEA,,,,,,,,,,,,,,,,,,,,,,,,
,,Codigo BNA:,,08135002-7,,,,,,,,,,,,Altitud (msnm):,,,29,,,,UTM Norte (mts):,,,,5940281,
,,Cuenca:,,RIO ITATA,,,,,,,,,,,,Latitud S:,,,36° 39' 21'',,,,UTM Este (mts):,,,,727913,
,,SubCuenca:,,Rio Itata Medio (Entre Rio Renegado y Rio Nuble),,,,,,,,,,,,Longitud W:,,,72° 27' 01'',,,,Área de Drenaje (km2): ,,,,4731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AÑO,,ENE,I,FEB,I,MAR,,I,ABR,I,MAY,I,JUN,I,JUL,I,AGO,,I,SEP,I,OCT,I,NOV,I,DIC,I
,2019,,25.92,%,13.82,,15.04,,,15.85,,30.95,,106.07,%,122.58,,104.73,,,80.02,,46.08,,20.89,,13.77,
,2020,,15.47,,13.32,,13.95,,,15.74,,20.99,,106.27,,243.81,,139.74,,,97.65,,48.74,,24.92,,17.54,
,2021,,20.08,,35.48,,23.93,,,25.33,,45.05,,140.57,,87.05,,139.57,,,125.36,,68.41,@,18.98,%,14.6,
,2022,,12.27,,11.44,,12.18,,,55.68,,65.85,,123.61,,302.29,,257.94,,,108.22,,77.32,,39.14,,11.4,
,2023,,9.5,,11.83,,11.5,,,13.82,,,,,,299.16,,,,,457.57,,123,,104.75,,30.61,
,INDICADORES:,,"*     : 1 - 10 Días con Información en el Mes
@   : 11 - 20 Días con Información en el Mes
%   : Más de 20 Días con Información en el Mes",,,,,,,,,,,,,,,,,,,,,,,,,
